x,y,err
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0666666666666667,0.33333333333333337
165,0.05333333333333335,0.0
166,0.04266666666666668,0.0
167,0.03413333333333334,0.0
168,0.027306666666666674,0.0
169,0.021845333333333338,0.0
170,0.01747626666666667,0.0
171,0.013981013333333335,0.0
172,0.011184810666666668,0.0
173,0.008947848533333335,0.0
174,0.007158278826666668,0.0
175,0.005726623061333334,0.0
176,0.004581298449066668,0.0
177,0.003665038759253334,0.0
178,0.0029320310074026673,0.0
179,0.002345624805922134,0.0
180,0.001876499844737707,0.0
181,0.0015011998757901656,0.0
182,0.0012009599006321326,0.0
183,0.0009607679205057061,0.0
184,0.0007686143364045649,0.0
185,0.000614891469123652,0.0
186,0.0004919131752989216,0.0
187,0.00039353054023913723,0.0
188,0.0003148244321913098,0.0
189,0.00025185954575304784,0.0
190,0.00020148763660243825,0.0
191,0.00016119010928195062,0.0
192,0.0001289520874255605,0.0
193,0.00010316166994044838,0.0
194,8.25293359523587e-05,0.0
195,6.602346876188696e-05,0.0
196,5.2818775009509566e-05,0.0
197,4.225502000760765e-05,0.0
198,3.380401600608612e-05,0.0
199,2.7043212804868896e-05,0.0
200,2.1634570243895117e-05,0.0
201,1.7307656195116093e-05,0.0
202,1.3846124956092874e-05,0.0
203,1.10768999648743e-05,0.0
204,8.861519971899441e-06,0.0
205,7.089215977519553e-06,0.0
206,5.671372782015642e-06,0.0
207,4.537098225612514e-06,0.0
208,3.629678580490011e-06,0.0
209,2.903742864392009e-06,0.0
210,2.322994291513607e-06,0.0
211,1.8583954332108857e-06,0.0
212,1.4867163465687086e-06,0.0
213,1.189373077254967e-06,0.0
214,9.514984618039735e-07,0.0
215,7.611987694431789e-07,0.0
216,6.089590155545431e-07,0.0
217,4.871672124436345e-07,0.0
218,3.8973376995490757e-07,0.0
219,3.117870159639261e-07,0.0
220,2.4942961277114086e-07,0.0
221,1.9954369021691266e-07,0.0
222,1.5963495217353013e-07,0.0
223,1.277079617388241e-07,0.0
224,1.0216636939105927e-07,0.0
225,8.173309551284742e-08,0.0
226,6.538647641027794e-08,0.0
227,5.230918112822235e-08,0.0
228,4.1847344902577875e-08,0.0
229,3.34778759220623e-08,0.0
230,2.6782300737649836e-08,0.0
231,2.142584059011987e-08,0.0
232,1.7140672472095897e-08,0.0
233,1.3712537977676716e-08,0.0
234,1.0970030382141374e-08,0.0
235,8.7760243057131e-09,0.0
236,7.02081944457048e-09,0.0
237,5.616655555656384e-09,0.0
238,4.4933244445251075e-09,0.0
239,3.594659555620086e-09,0.0
240,2.875727644496069e-09,0.0
241,2.3005821155968554e-09,0.0
242,1.8404656924774843e-09,0.0
243,1.4723725539819874e-09,0.0
244,1.17789804318559e-09,0.0
245,9.42318434548472e-10,0.0
246,7.538547476387775e-10,0.0
247,6.03083798111022e-10,0.0
248,4.824670384888177e-10,0.0
249,3.859736307910541e-10,0.0
250,3.0877890463284335e-10,0.0
251,2.470231237062747e-10,0.0
252,1.9761849896501975e-10,0.0
253,1.580947991720158e-10,0.0
254,1.2647583933761265e-10,0.0
255,1.0118067147009011e-10,0.0
256,8.094453717607208e-11,0.0
257,6.475562974085767e-11,0.0
258,5.1804503792686134e-11,0.0
259,4.1443603034148905e-11,0.0
260,3.3154882427319124e-11,0.0
261,2.65239059418553e-11,0.0
262,2.121912475348424e-11,0.0
263,1.6975299802787392e-11,0.0
264,1.3580239842229914e-11,0.0
265,1.086419187378393e-11,0.0
266,8.691353499027146e-12,0.0
267,6.953082799221716e-12,0.0
268,5.5624662393773725e-12,0.0
269,4.449972991501898e-12,0.0
270,3.5599783932015187e-12,0.0
271,2.847982714561215e-12,0.0
272,2.2783861716489724e-12,0.0
273,1.822708937319178e-12,0.0
274,1.4581671498553424e-12,0.0
275,1.166533719884274e-12,0.0
276,9.332269759074193e-13,0.0
277,7.465815807259354e-13,0.0
278,5.972652645807483e-13,0.0
279,4.778122116645987e-13,0.0
280,3.8224976933167895e-13,0.0
281,3.0579981546534315e-13,0.0
282,2.4463985237227455e-13,0.0
283,1.9571188189781963e-13,0.0
284,1.565695055182557e-13,0.0
285,1.2525560441460456e-13,0.0
286,1.0020448353168364e-13,0.0
287,8.016358682534692e-14,0.0
288,6.413086946027753e-14,0.0
289,5.1304695568222026e-14,0.0
290,4.104375645457762e-14,0.0
291,3.28350051636621e-14,0.0
292,2.6268004130929678e-14,0.0
293,2.1014403304743742e-14,0.0
294,1.6811522643794995e-14,0.0
295,1.3449218115035996e-14,0.0
296,1.0759374492028796e-14,0.0
297,8.607499593623037e-15,0.0
298,6.88599967489843e-15,0.0
299,5.508799739918744e-15,0.0
300,4.407039791934995e-15,0.0
