x,y,err
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.08010626833472267,0.33333333333333337
8,0.06160132294015523,0.0
9,0.047799050649671306,0.0
10,0.03734089148824311,0.0
11,0.1009076545528631,0.33333333333333337
12,0.0795520890107248,0.0
13,0.06290973263461484,0.0
14,0.049868954518112976,0.0
15,0.0396062954420479,0.0
16,0.03150255637236568,0.0
17,0.025086463035650937,0.0
18,0.01999580633371788,0.0
19,0.015950000096834553,0.0
20,0.012730303619006888,0.0
21,0.010165316631803376,0.0
22,0.008120180955227724,0.0
23,0.0064884390810468545,0.0
24,0.005185830147422737,0.0
25,0.00414551997336362,0.0
26,0.003314406469543298,0.0
27,0.0026502404917962256,0.0
28,0.00211937091255225,0.0
29,0.0016949713488292122,0.0
30,0.0013556410225854492,0.0
31,0.001084297837848985,0.0
32,0.0008673007320234642,0.0
33,0.0006937525862543104,0.0
34,0.0005549457622662502,0.0
35,0.0004439205800814579,0.0
36,0.0003551134084052409,0.0
37,0.0002840759728260489,0.0
38,0.00022725133664868195,0.0
39,0.00018179502713902703,0.0
40,0.0001454321549474037,0.0
41,0.0001163432493475108,0.0
42,9.307301578797776e-05,0.0
43,7.445739909980488e-05,0.0
44,5.956527063616748e-05,0.0
45,4.765180138511805e-05,0.0
46,3.812117543301827e-05,0.0
47,3.049677031649882e-05,0.0
48,2.439730743514501e-05,0.0
49,1.951777630512054e-05,0.0
50,1.56141764728656e-05,0.0
51,1.2491312652851316e-05,0.0
52,9.99303186607375e-06,0.0
53,7.99441380892475e-06,0.0
54,6.39552356944155e-06,0.0
55,5.116414069836432e-06,0.0
56,4.093128193015546e-06,0.0
57,3.274500594188773e-06,0.0
58,2.6195992208092256e-06,0.0
59,2.095678573741325e-06,0.0
60,1.6765423451335391e-06,0.0
61,1.3412335472369191e-06,0.0
62,1.0729866273128845e-06,0.0
63,8.583891671452987e-07,0.0
64,6.867112475050576e-07,0.0
65,5.493689428289026e-07,0.0
66,4.394951189510366e-07,0.0
67,3.515960725610978e-07,0.0
68,2.812768435850518e-07,0.0
69,2.2502146561119338e-07,0.0
70,1.8001716656457238e-07,0.0
71,1.4401372946005343e-07,0.0
72,1.15210981141416e-07,0.0
73,9.216878336009174e-08,0.0
74,7.373502569412714e-08,0.0
75,5.898801991917614e-08,0.0
76,4.719041552822055e-08,0.0
77,3.775233216201941e-08,0.0
78,3.020186556285903e-08,0.0
79,2.4161492343563073e-08,0.0
80,1.9329193806547e-08,0.0
81,1.5463355001523387e-08,0.0
82,1.2370683973241616e-08,0.0
83,9.896547160687952e-09,0.0
84,7.917237717090943e-09,0.0
85,6.333790166338726e-09,0.0
86,5.067032128377203e-09,0.0
87,4.053625699697746e-09,0.0
88,3.2429005578356253e-09,0.0
89,2.5943204450380545e-09,0.0
90,2.0754563552429584e-09,0.0
91,1.6603650836903765e-09,0.0
92,1.3282920666297472e-09,0.0
93,1.0626336530973631e-09,0.0
94,8.501069223457724e-10,0.0
95,6.800855377920624e-10,0.0
96,5.440684301795343e-10,0.0
97,4.3525474410899347e-10,0.0
98,3.482037952650291e-10,0.0
99,2.785630361978372e-10,0.0
100,2.2285042894919066e-10,0.0
101,1.782803431535419e-10,0.0
102,1.4262427451911474e-10,0.0
103,1.1409941961291176e-10,0.0
104,9.127953568880621e-11,0.0
105,7.30236285500701e-11,0.0
106,5.841890283943218e-11,0.0
107,4.6735122271146444e-11,0.0
108,3.738809781666161e-11,0.0
109,2.991047825316573e-11,0.0
110,2.3928382602427906e-11,0.0
111,1.9142706081875335e-11,0.0
112,1.5314164865457393e-11,0.0
113,1.2251331892338477e-11,0.0
114,9.80106551385322e-12,0.0
115,7.840852411071337e-12,0.0
116,6.2726819288498765e-12,0.0
117,5.0181455430752985e-12,0.0
118,4.014516434457292e-12,0.0
119,3.211613147563948e-12,0.0
120,2.5692905180499515e-12,0.0
121,2.055432414439189e-12,0.0
122,1.6443459315508569e-12,0.0
123,1.3154767452403693e-12,0.0
124,1.052381396192093e-12,0.0
125,8.419051169535448e-13,0.0
126,6.735240935627529e-13,0.0
127,5.388192748501493e-13,0.0
128,4.3105541988008544e-13,0.0
129,3.448443359040467e-13,0.0
130,2.7587546872322345e-13,0.0
131,2.207003749785699e-13,0.0
132,1.7656029998285024e-13,0.0
133,1.4124823998627654e-13,0.0
134,1.1299859198901892e-13,0.0
135,9.039887359121364e-14,0.0
136,7.231909887296995e-14,0.0
137,5.785527909837535e-14,0.0
138,4.628422327869989e-14,0.0
139,3.702737862295967e-14,0.0
140,2.962190289836758e-14,0.0
141,2.3697522318693962e-14,0.0
142,1.8958017854955104e-14,0.0
143,1.516641428396404e-14,0.0
144,1.2133131427171207e-14,0.0
145,9.706505141736949e-15,0.0
146,7.76520411338955e-15,0.0
147,6.212163290711633e-15,0.0
148,4.969730632569302e-15,0.0
149,3.975784506055439e-15,0.0
150,3.18062760484435e-15,0.0
151,2.544502083875479e-15,0.0
152,2.0356016671003827e-15,0.0
153,1.6284813336803057e-15,0.0
154,1.3027850669442443e-15,0.0
155,1.0422280535553952e-15,0.0
156,8.337824428443162e-16,0.0
157,6.670259542754529e-16,0.0
158,5.336207634203624e-16,0.0
159,4.268966107362899e-16,0.0
160,3.415172885890319e-16,0.0
161,2.7321383087122553e-16,0.0
162,2.1857106469698043e-16,0.0
163,1.7485685175758436e-16,0.0
164,1.398854814060675e-16,0.0
165,1.11908385124854e-16,0.0
166,8.95267080998832e-17,0.0
167,7.162136647990657e-17,0.0
168,5.729709318392525e-17,0.0
169,4.58376745471402e-17,0.0
170,3.6670139637712165e-17,0.0
171,2.933611171016973e-17,0.0
172,2.346888936813578e-17,0.0
173,1.8775111494508623e-17,0.0
174,1.50200891956069e-17,0.0
175,1.2016071356485518e-17,0.0
176,9.612857085188414e-18,0.0
177,7.690285668150732e-18,0.0
178,6.152228534520586e-18,0.0
179,4.921782827616469e-18,0.0
180,3.9374262620931755e-18,0.0
181,3.14994100967454e-18,0.0
182,2.519952807739632e-18,0.0
183,2.0159622461917056e-18,0.0
184,1.6127697969533644e-18,0.0
185,1.2902158375626916e-18,0.0
186,1.0321726700501533e-18,0.0
187,8.257381360401226e-19,0.0
188,6.60590508832098e-19,0.0
189,5.284724070656785e-19,0.0
190,4.2277792565254277e-19,0.0
191,3.382223405220342e-19,0.0
192,2.7057787241762737e-19,0.0
193,2.164622979341019e-19,0.0
194,1.7316983834728154e-19,0.0
195,1.3853587067782524e-19,0.0
196,1.1082869654226018e-19,0.0
197,8.866295723380814e-20,0.0
198,7.093036578704651e-20,0.0
199,5.674429262963721e-20,0.0
200,4.539543410370976e-20,0.0
201,3.6316347282967806e-20,0.0
202,2.9053077826374244e-20,0.0
203,2.3242462261099394e-20,0.0
204,1.8593969808879514e-20,0.0
205,1.4875175847103613e-20,0.0
206,1.190014067768289e-20,0.0
207,9.520112542146311e-21,0.0
208,7.61609003371705e-21,0.0
209,6.092872026973639e-21,0.0
210,4.874297621578911e-21,0.0
211,3.899438097263129e-21,0.0
212,3.1195504778105033e-21,0.0
213,2.4956403822484026e-21,0.0
214,1.996512305798722e-21,0.0
215,1.5972098446389777e-21,0.0
216,1.2777678757111822e-21,0.0
217,1.0222143005689459e-21,0.0
218,8.177714404551567e-22,0.0
219,6.542171523641253e-22,0.0
220,5.233737218913003e-22,0.0
221,4.186989775130402e-22,0.0
222,3.349591820104322e-22,0.0
223,2.6796734560834576e-22,0.0
224,2.143738764866766e-22,0.0
225,1.7149910118934128e-22,0.0
226,1.3719928095147304e-22,0.0
227,1.0975942476117843e-22,0.0
228,8.780753980894274e-23,0.0
229,7.024603184715419e-23,0.0
230,5.619682547772335e-23,0.0
231,4.495746038217868e-23,0.0
232,3.5965968305742944e-23,0.0
233,2.877277464459436e-23,0.0
234,2.3018219715675484e-23,0.0
235,1.8414575772540387e-23,0.0
236,1.473166061803231e-23,0.0
237,1.1785328494425849e-23,0.0
238,9.42826279554068e-24,0.0
239,7.542610236432544e-24,0.0
240,6.034088189146035e-24,0.0
241,4.827270551316828e-24,0.0
242,3.861816441053462e-24,0.0
243,3.08945315284277e-24,0.0
244,2.471562522274216e-24,0.0
245,1.977250017819373e-24,0.0
246,1.5818000142554984e-24,0.0
247,1.2654400114043986e-24,0.0
248,1.0123520091235189e-24,0.0
249,8.0988160729881515e-25,0.0
250,6.479052858390521e-25,0.0
251,5.183242286712417e-25,0.0
