"K-T-S-H/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - K-T-S-H/K-T-S-H_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - K-T-S-H/K-T-S-H_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - K-T-S-H/K-T-S-H_return__MAX"
"156","1056","1056","1056","2","2","2"
"157","1057","1057","1057","2","2","2"
"158","1058","1058","1058","4","4","4"
"159","1059","1059","1059","2","2","2"
"160","1060","1060","1060","4","4","4"
"161","1061","1061","1061","4","4","4"
"162","1062","1062","1062","4","4","4"
"163","1063","1063","1063","1","1","1"
"164","1064","1064","1064","4","4","4"
"165","1065","1065","1065","4","4","4"
"166","1066","1066","1066","1","1","1"
"167","1067","1067","1067","4","4","4"
"168","1068","1068","1068","2","2","2"
"169","1069","1069","1069","4","4","4"
"170","1070","1070","1070","4","4","4"
"171","1071","1071","1071","4","4","4"
"172","1072","1072","1072","1","1","1"
"173","1073","1073","1073","1","1","1"
"174","1074","1074","1074","4","4","4"
"175","1075","1075","1075","4","4","4"
"176","1076","1076","1076","4","4","4"
"177","1077","1077","1077","4","4","4"
"178","1078","1078","1078","4","4","4"
"179","1079","1079","1079","4","4","4"
"180","1080","1080","1080","4","4","4"
"181","1081","1081","1081","4","4","4"
"182","1082","1082","1082","4","4","4"
"183","1083","1083","1083","4","4","4"
"184","1084","1084","1084","4","4","4"
