"M-T-L-S/n_ep","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - _step__MAX","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-L-S/M-T-L-S_return","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-L-S/M-T-L-S_return__MIN","kitchen_env.epoch_cycles_train=100_epoch_cycles_train=100_policy_lr=1e-5_f_lr=1e-5_with_gcsl=true_q_warmup=50000 - M-T-L-S/M-T-L-S_return__MAX"
"141","1513","1513","1513","1","1","1"
"142","1514","1514","1514","1","1","1"
"143","1515","1515","1515","1","1","1"
"144","1516","1516","1516","2","2","2"
"145","1517","1517","1517","1","1","1"
"146","1518","1518","1518","4","4","4"
"147","1519","1519","1519","2","2","2"
"148","1520","1520","1520","2","2","2"
"149","1521","1521","1521","1","1","1"
"150","1522","1522","1522","2","2","2"
"151","1523","1523","1523","4","4","4"
"152","1524","1524","1524","1","1","1"
"153","1525","1525","1525","3","3","3"
"154","1526","1526","1526","2","2","2"
"155","1527","1527","1527","4","4","4"
"156","1528","1528","1528","2","2","2"
"157","1529","1529","1529","4","4","4"
"158","1530","1530","1530","4","4","4"
"159","1531","1531","1531","1","1","1"
"160","1532","1532","1532","4","4","4"
"161","1533","1533","1533","4","4","4"
"162","1534","1534","1534","1","1","1"
"163","1535","1535","1535","3","3","3"
"164","1536","1536","1536","1","1","1"
"165","1537","1537","1537","1","1","1"
"166","1538","1538","1538","3","3","3"
"167","1539","1539","1539","3","3","3"
"168","1540","1540","1540","2","2","2"
"169","1541","1541","1541","0","0","0"
"170","1542","1542","1542","2","2","2"
"171","1543","1543","1543","1","1","1"
"172","1544","1544","1544","1","1","1"
"173","1545","1545","1545","2","2","2"
"174","1546","1546","1546","2","2","2"
"175","1547","1547","1547","1","1","1"
"176","1548","1548","1548","2","2","2"
"177","1549","1549","1549","4","4","4"
"178","1550","1550","1550","2","2","2"
"179","1551","1551","1551","2","2","2"
"180","1552","1552","1552","2","2","2"
"181","1553","1553","1553","3","3","3"
"182","1554","1554","1554","1","1","1"
"183","1555","1555","1555","1","1","1"
"184","1556","1556","1556","1","1","1"
"185","1557","1557","1557","4","4","4"
"186","1558","1558","1558","1","1","1"
"187","1559","1559","1559","2","2","2"
"188","1560","1560","1560","1","1","1"
"189","1561","1561","1561","3","3","3"
"190","1562","1562","1562","2","2","2"
"191","1563","1563","1563","2","2","2"
"192","1564","1564","1564","4","4","4"
"193","1565","1565","1565","2","2","2"
"194","1566","1566","1566","4","4","4"
"195","1567","1567","1567","4","4","4"
"196","1568","1568","1568","2","2","2"
"197","1569","1569","1569","3","3","3"
"198","1570","1570","1570","1","1","1"
"199","1571","1571","1571","2","2","2"
"200","1572","1572","1572","1","1","1"
"201","1573","1573","1573","3","3","3"
"202","1574","1574","1574","2","2","2"
"203","1575","1575","1575","1","1","1"
"204","1576","1576","1576","3","3","3"
"205","1577","1577","1577","3","3","3"
"206","1578","1578","1578","2","2","2"
"207","1579","1579","1579","4","4","4"
"208","1580","1580","1580","2","2","2"
"209","1581","1581","1581","4","4","4"
"210","1582","1582","1582","3","3","3"
"211","1583","1583","1583","4","4","4"
"212","1584","1584","1584","1","1","1"
"213","1585","1585","1585","1","1","1"
"214","1586","1586","1586","4","4","4"
"215","1587","1587","1587","4","4","4"
"216","1588","1588","1588","4","4","4"
"217","1589","1589","1589","1","1","1"
"218","1590","1590","1590","1","1","1"
"219","1591","1591","1591","2","2","2"
"220","1592","1592","1592","3","3","3"
"221","1593","1593","1593","3","3","3"
"222","1594","1594","1594","1","1","1"
"223","1595","1595","1595","1","1","1"
"224","1596","1596","1596","1","1","1"
"225","1597","1597","1597","1","1","1"
"226","1598","1598","1598","4","4","4"
"227","1599","1599","1599","4","4","4"
"228","1600","1600","1600","4","4","4"
"229","1601","1601","1601","4","4","4"
"230","1602","1602","1602","3","3","3"
"231","1603","1603","1603","4","4","4"
"232","1604","1604","1604","4","4","4"
"233","1605","1605","1605","4","4","4"
"234","1606","1606","1606","4","4","4"
"235","1607","1607","1607","1","1","1"
"236","1608","1608","1608","2","2","2"
"237","1609","1609","1609","4","4","4"
"238","1610","1610","1610","1","1","1"
"239","1611","1611","1611","1","1","1"
"240","1612","1612","1612","3","3","3"
"241","1613","1613","1613","4","4","4"
"242","1614","1614","1614","4","4","4"
"243","1615","1615","1615","2","2","2"
"244","1616","1616","1616","1","1","1"
"245","1617","1617","1617","4","4","4"
"246","1618","1618","1618","2","2","2"
"247","1619","1619","1619","4","4","4"
"248","1620","1620","1620","2","2","2"
"249","1621","1621","1621","2","2","2"
"250","1622","1622","1622","2","2","2"
"251","1623","1623","1623","1","1","1"
"252","1624","1624","1624","3","3","3"
"253","1625","1625","1625","4","4","4"
"254","1626","1626","1626","4","4","4"
"255","1627","1627","1627","4","4","4"
"256","1628","1628","1628","2","2","2"
"257","1629","1629","1629","4","4","4"
"258","1630","1630","1630","4","4","4"
"259","1631","1631","1631","4","4","4"
"260","1632","1632","1632","1","1","1"
"261","1633","1633","1633","2","2","2"
"262","1634","1634","1634","4","4","4"
"263","1635","1635","1635","4","4","4"
"264","1636","1636","1636","2","2","2"
"265","1637","1637","1637","1","1","1"
"266","1638","1638","1638","4","4","4"
"267","1639","1639","1639","4","4","4"
"268","1640","1640","1640","4","4","4"
"269","1641","1641","1641","4","4","4"
"270","1642","1642","1642","2","2","2"
"271","1643","1643","1643","1","1","1"
"272","1644","1644","1644","3","3","3"
"273","1645","1645","1645","2","2","2"
"274","1646","1646","1646","4","4","4"
"275","1647","1647","1647","4","4","4"
"276","1648","1648","1648","4","4","4"
"277","1649","1649","1649","4","4","4"
"278","1650","1650","1650","4","4","4"
"279","1651","1651","1651","1","1","1"
"280","1652","1652","1652","3","3","3"
"281","1653","1653","1653","4","4","4"
"282","1654","1654","1654","4","4","4"
"283","1655","1655","1655","2","2","2"
"284","1656","1656","1656","4","4","4"
"285","1657","1657","1657","4","4","4"
"286","1658","1658","1658","4","4","4"
"287","1659","1659","1659","4","4","4"
"288","1660","1660","1660","3","3","3"
"289","1661","1661","1661","2","2","2"
"290","1662","1662","1662","3","3","3"
"291","1663","1663","1663","4","4","4"
"292","1664","1664","1664","4","4","4"
"293","1665","1665","1665","2","2","2"
"294","1666","1666","1666","4","4","4"
"295","1667","1667","1667","2","2","2"
"296","1668","1668","1668","4","4","4"
"297","1669","1669","1669","4","4","4"
"298","1670","1670","1670","2","2","2"
"299","1671","1671","1671","3","3","3"
"300","1672","1672","1672","3","3","3"
