task,reward/mean,reward/std,success/mean,success/std
BLSH,1.5263157894736843,1.18178531948632,0.12280701754385964,0.33113308926626095
BTLH,1.2105263157894737,1.1297414701929303,0.05263157894736842,0.22528177844479144
KTLH,1.8771929824561404,1.1030829433682103,0.15789473684210525,0.36788360369097955
KTSH,1.8771929824561404,1.1349980402531301,0.12280701754385964,0.33113308926626095
MBLH,0.8421052631578947,1.146259034614816,0.017543859649122806,0.13245323570650436
MKBL,1.1929824561403508,1.231123129666973,0.03508771929824561,0.18563715383027588
MKBT,1.2456140350877194,1.572994207536174,0.15789473684210525,0.3678836036909795
MKTS,1.8421052631578947,1.5328483487124145,0.21052631578947367,0.4113063728303113
MTLS,0.9649122807017544,1.1947042712484746,0.08771929824561403,0.28540083056153326
MTSH,0.7894736842105263,1.0305484341786024,0.0,0.0
